file1,file2,section,ssdeep,tlsh,mvhash,truth
b2sum-coreutils_8-30_O2,groups-coreutils_8-30_O2,full,0,-345,,no
b2sum-coreutils_8-30_O2.rodata,groups-coreutils_8-30_O2.rodata,rodata,36,-754,,no
b2sum-coreutils_8-30_O2.text,groups-coreutils_8-30_O2.text,text,0,-554,,no
b2sum-coreutils_8-30_O2.data,sha512sum-coreutils_8-30_O2.data,data,0,,,no
b2sum-coreutils_8-30_O2,sha512sum-coreutils_8-30_O2,full,0,-142,,no
b2sum-coreutils_8-30_O2.rodata,sha512sum-coreutils_8-30_O2.rodata,rodata,66,-537,,no
b2sum-coreutils_8-30_O2.text,sha512sum-coreutils_8-30_O2.text,text,0,-194,,no
b2sum-coreutils_8-30_O2.data,link-coreutils_8-30_O2.data,data,0,,,no
b2sum-coreutils_8-30_O2,link-coreutils_8-30_O2,full,0,-468,,no
b2sum-coreutils_8-30_O2.rodata,link-coreutils_8-30_O2.rodata,rodata,33,-760,,no
b2sum-coreutils_8-30_O2.text,link-coreutils_8-30_O2.text,text,0,-585,,no
b2sum-coreutils_8-30_O2.data,unlink-coreutils_8-30_O2.data,data,0,,,no
b2sum-coreutils_8-30_O2,unlink-coreutils_8-30_O2,full,0,-474,,no
b2sum-coreutils_8-30_O2.rodata,unlink-coreutils_8-30_O2.rodata,rodata,35,-600,,no
b2sum-coreutils_8-30_O2.text,unlink-coreutils_8-30_O2.text,text,0,-548,,no
b2sum-coreutils_8-30_O2.data,false-coreutils_8-30_O2.data,data,0,,,no
b2sum-coreutils_8-30_O2,false-coreutils_8-30_O2,full,0,-497,,no
b2sum-coreutils_8-30_O2.rodata,false-coreutils_8-30_O2.rodata,rodata,35,-600,,no
b2sum-coreutils_8-30_O2.text,false-coreutils_8-30_O2.text,text,0,-654,,no
b2sum-coreutils_8-30_O2.data,dir-coreutils_8-30_O2.data,data,0,,,no
b2sum-coreutils_8-30_O2,dir-coreutils_8-30_O2,full,0,-408,,no
b2sum-coreutils_8-30_O2.rodata,dir-coreutils_8-30_O2.rodata,rodata,0,-965,,no
b2sum-coreutils_8-30_O2.text,dir-coreutils_8-30_O2.text,text,0,-491,,no
b2sum-coreutils_8-30_O2.data,pathchk-coreutils_8-30_O2.data,data,0,,,no
b2sum-coreutils_8-30_O2,pathchk-coreutils_8-30_O2,full,0,-557,,no
b2sum-coreutils_8-30_O2.rodata,pathchk-coreutils_8-30_O2.rodata,rodata,38,-880,,no
b2sum-coreutils_8-30_O2.text,pathchk-coreutils_8-30_O2.text,text,0,-468,,no
b2sum-coreutils_8-30_O2.data,factor-coreutils_8-30_O2.data,data,0,,,no
b2sum-coreutils_8-30_O2,factor-coreutils_8-30_O2,full,0,-297,,no
b2sum-coreutils_8-30_O2.rodata,factor-coreutils_8-30_O2.rodata,rodata,0,-1154,,no
b2sum-coreutils_8-30_O2.text,factor-coreutils_8-30_O2.text,text,0,-374,,no
b2sum-coreutils_8-30_O2.data,tee-coreutils_8-30_O2.data,data,0,,,no
b2sum-coreutils_8-30_O2,tee-coreutils_8-30_O2,full,0,-385,,no
b2sum-coreutils_8-30_O2.rodata,tee-coreutils_8-30_O2.rodata,rodata,36,-657,,no
b2sum-coreutils_8-30_O2.text,tee-coreutils_8-30_O2.text,text,0,-534,,no
b2sum-coreutils_8-30_O2.data,od-coreutils_8-30_O2.data,data,0,,,no
b2sum-coreutils_8-30_O2,od-coreutils_8-30_O2,full,0,-168,,no
b2sum-coreutils_8-30_O2.rodata,od-coreutils_8-30_O2.rodata,rodata,30,-751,,no
